app_id,monetization_type,total_revenue_usd,arpu_usd,ltv_usd,conversion_rate_pct,ad_impressions,ad_revenue_usd,subscription_active_users,subscription_tier,iap_category,report_month
APP_021620,Paid,359.99,0.606,5.23,0.0,0,0.0,0,N/A,N/A,2024-08
APP_051719,Paid,247081.14,0.7719,8.78,0.0,0,0.0,0,N/A,N/A,2024-06
APP_044032,Free,257.33,0.005,0.05,0.0,0,0.0,0,N/A,N/A,2024-08
APP_070275,Freemium,37.13,0.176,0.72,13.42,58,16.46,0,N/A,Themes,2023-01
APP_093659,Free with Ads,183.02,0.0298,0.35,0.0,98,23.73,0,N/A,N/A,2025-02
APP_097010,Subscription,4659.77,2.8782,11.73,5.12,0,0.0,68,Enterprise,N/A,2025-12
APP_073682,Freemium,2489.08,0.1741,2.01,8.63,1892,402.56,0,N/A,Subscription Trial,2023-04
APP_077818,Freemium,717115.66,0.196,1.39,14.9,138153,36966.07,0,N/A,Themes,2023-04
APP_075706,Free,121.52,0.0033,0.02,0.0,0,0.0,0,N/A,N/A,2024-10
APP_043939,Free with Ads,84.09,0.0272,0.09,0.0,562,49.16,0,N/A,N/A,2023-02
APP_001604,Freemium,1946.18,0.2716,1.37,1.82,2937,737.29,0,N/A,Themes,2024-09
APP_033339,Free,1231.41,0.0045,0.05,0.0,0,0.0,0,N/A,N/A,2024-09
APP_078751,Free,602.17,0.0033,0.01,0.0,0,0.0,0,N/A,N/A,2025-09
APP_064579,Freemium,389.39,0.4538,2.78,2.76,22,156.33,0,N/A,Gems,2023-12
APP_055241,Free,81.01,0.0043,0.03,0.0,0,0.0,0,N/A,N/A,2025-04
APP_063230,Paid,65942.27,2.1255,13.46,0.0,0,0.0,0,N/A,N/A,2023-08
APP_093927,Free,14.54,0.0002,0.0,0.0,0,0.0,0,N/A,N/A,2026-03
APP_009479,Free with Ads,20.77,0.0188,0.2,0.0,266,11.59,0,N/A,N/A,2023-12
APP_041511,Subscription,163767.63,1.3261,4.23,4.67,0,0.0,949,Premium,N/A,2023-07
APP_071832,Free with Ads,333.74,0.0183,0.19,0.0,8121,194.78,0,N/A,N/A,2025-09
APP_055062,Subscription,139451.43,1.0328,3.93,1.67,0,0.0,5224,Basic,N/A,2023-05
APP_078412,Free with Ads,3299.14,0.0097,0.04,0.0,91096,1423.99,0,N/A,N/A,2024-10
APP_080181,Freemium,17178.63,0.2167,0.91,5.08,25179,7576.65,0,N/A,Ad Removal,2024-02
APP_078472,Free,0.66,0.0036,0.03,0.0,0,0.0,0,N/A,N/A,2024-11
APP_056907,Free,0.06,0.0022,0.01,0.0,0,0.0,0,N/A,N/A,2023-09
