app_id,country,region_installs,avg_session_duration_minutes,avg_rating,revenue_usd,active_users,daus,maus,language,quarter,year
APP_048173,India,11,3.6,4.4,866768.81,82,31,58,pt,Q3,2026
APP_076936,Russia,15413,4.73,5.0,235717.57,2724,1330,6842,id,Q1,2026
APP_020256,India,21,7.47,3.5,353866.7,10,1,18,id,Q3,2026
APP_047030,Argentina,125034,6.14,3.6,890802.37,65088,33809,175067,es,Q3,2024
APP_087655,Canada,338,4.21,4.1,500200.87,190,10,327,id,Q3,2025
APP_020646,Indonesia,50574,21.04,3.7,502874.93,12111,2830,4070,ar,Q2,2026
APP_088285,Mexico,282,4.18,4.7,676965.72,37,55,420,ja,Q3,2025
APP_029180,Russia,4106,34.36,3.9,270117.19,138,390,3103,ru,Q2,2025
APP_044707,Indonesia,186,10.69,3.0,170247.82,56,22,188,es,Q4,2026
APP_018664,United States,868,20.62,1.2,598842.39,428,149,838,pt,Q1,2024
APP_032598,India,6524,14.28,4.5,614026.4,782,1907,11203,fr,Q2,2025
APP_054307,Pakistan,10,5.6,4.4,30029.63,5,1,10,fr,Q1,2025
APP_088981,United States,1609,8.3,3.3,23165.79,416,296,701,pt,Q4,2024
APP_086797,United States,39,5.53,3.4,283008.5,9,6,26,en,Q3,2025
APP_075747,India,370,3.85,1.8,341574.9,689,66,4012,ru,Q4,2025
APP_059809,Netherlands,151775,16.47,4.1,924753.17,7534,20969,177643,tr,Q3,2025
APP_027279,India,6217,24.65,3.2,877553.18,231,549,2842,ar,Q3,2024
APP_048424,South Africa,3534,6.81,3.3,19350.58,1936,313,915,hi,Q2,2025
APP_071561,Australia,2120,21.65,2.9,919058.12,852,1084,4495,zh,Q4,2025
APP_067503,Egypt,1240297,35.46,4.2,976743.51,30650,363804,2290890,th,Q3,2026
APP_081683,South Korea,81448,9.13,2.9,381261.76,58809,14419,59376,ja,Q4,2025
APP_000369,Indonesia,355,10.73,2.8,859009.39,137,32,83,vi,Q1,2026
APP_026843,Poland,274,8.52,4.0,860177.13,1401,307,5528,zh,Q2,2026
APP_080850,India,120,8.73,3.2,105758.43,9,25,190,vi,Q4,2024
APP_086730,Indonesia,13,6.68,2.3,118744.98,16,2,33,ko,Q1,2026
APP_020197,United States,14871,5.93,4.3,968609.64,3139,1615,10047,vi,Q2,2025
APP_071030,Brazil,254,64.66,5.0,765734.75,98,36,11,vi,Q2,2026
APP_091744,Mexico,10,12.88,5.0,159351.19,5,1,10,ar,Q4,2025
APP_045828,Turkey,220,10.61,4.7,506366.49,659,11924,34753,zh,Q4,2026
APP_073581,India,150800,13.33,4.0,355393.14,338242,66589,671522,en,Q1,2024
APP_069334,India,12,11.78,2.6,594048.22,24,5,13,ar,Q4,2026
APP_093660,Malaysia,1420,9.1,3.8,407105.09,375,249,1119,pt,Q1,2026
APP_082642,United States,170776,25.67,4.2,599115.7,53663,147948,71382,vi,Q4,2024
APP_060161,India,451,8.22,3.5,76633.37,332,122,1876,ar,Q4,2024
APP_039962,India,103,16.23,1.7,512230.78,58,9,81,de,Q2,2024
APP_001087,Indonesia,182,7.16,1.5,901260.61,22,108,357,fr,Q3,2024
APP_083666,India,26,35.45,3.7,426707.1,20,11,43,fr,Q4,2025
APP_035626,South Africa,3074,30.46,3.2,766594.25,322,1445,4884,th,Q2,2025
APP_037087,United States,65,6.18,3.1,557344.74,135,78,98,zh,Q2,2025
APP_069591,Bangladesh,2043,3.29,4.4,958462.71,56002,24334,176886,ru,Q2,2025
APP_083046,Brazil,540,39.62,2.6,742778.49,299,59,534,tr,Q1,2025
APP_076774,South Korea,159,5.15,3.4,464187.53,192,169,259,ar,Q4,2024
APP_071876,France,1847,9.22,4.3,32703.95,1408,384,1122,fr,Q3,2026
APP_068360,United States,25736,36.87,3.0,171917.87,7707,712,19140,es,Q1,2024
APP_047385,Pakistan,4486,23.55,4.0,999777.83,4386,881,8138,zh,Q2,2024
APP_026238,Russia,3816,9.24,4.5,50139.0,1924,470,1959,es,Q4,2026
APP_054225,United States,1780,27.76,3.9,194435.31,8201,2877,586,ko,Q4,2024
APP_056467,Brazil,2220,48.57,2.9,738555.88,1781,761,1712,vi,Q1,2026
APP_059549,Japan,1003571,5.99,4.4,229100.83,217341,96807,702731,zh,Q3,2024
APP_074863,India,943,15.86,3.1,928091.6,923,250,2195,vi,Q3,2026
APP_012444,Egypt,10,4.82,3.4,224365.71,5,1,10,tr,Q1,2025
APP_076600,Netherlands,859,8.53,4.5,213708.59,56,45,790,zh,Q3,2025
APP_077971,Indonesia,5283,12.15,3.7,698497.75,65,431,5594,ko,Q1,2024
APP_029884,India,10,9.91,3.7,257609.63,5,1,10,de,Q4,2026
APP_055542,Spain,1740,32.51,3.8,520060.5,2832,1119,4378,th,Q2,2024
APP_004216,India,4820,13.23,1.9,548464.18,187,764,3295,en,Q2,2025
APP_061424,Germany,2309,17.77,3.3,311050.97,586,225,989,en,Q1,2026
APP_033567,Indonesia,22030,6.56,4.3,14602.82,10260,4628,3339,tr,Q1,2024
APP_080693,Mexico,29,19.25,1.8,551128.7,5,7,20,ja,Q2,2025
APP_047186,Thailand,5942,11.53,3.7,426930.37,3727,1849,3564,ar,Q1,2025
APP_092809,South Africa,257,5.31,3.4,311017.84,77,73,263,en,Q2,2024
APP_053903,United Kingdom,37584,11.85,3.4,636699.78,15123,8475,32408,ja,Q3,2025
APP_082989,United Kingdom,12,3.91,4.9,716444.44,6,2,12,pt,Q1,2025
APP_026617,Japan,19924,12.77,5.0,317729.64,126,6681,26574,pt,Q4,2026
APP_097709,Egypt,2190,9.07,2.3,384982.17,780,791,2484,ko,Q2,2024
APP_007530,India,9249,18.45,4.3,489126.55,777,1409,9496,fr,Q2,2025
APP_066045,United States,3722,15.83,3.4,854825.4,6160,2844,15258,hi,Q2,2025
APP_017665,Brazil,464,4.79,3.6,27906.83,11,228,745,de,Q4,2024
APP_015712,Indonesia,33,12.57,3.3,403800.63,17,4,52,ko,Q1,2026
APP_015250,India,53252,41.22,3.3,899875.02,10202,9186,38219,hi,Q4,2025
APP_013907,Kenya,223,36.11,4.2,483468.87,110,31,102,vi,Q4,2025
APP_037785,United States,1376,2.67,2.7,679618.12,1791,958,2965,es,Q4,2025
APP_032565,India,301,8.92,1.7,476726.96,1782,959,8623,fr,Q1,2024
APP_033230,Spain,216,4.59,2.2,158196.98,113,3,107,ar,Q2,2025
APP_043089,Italy,10,4.54,2.4,773454.25,5,1,10,ja,Q3,2024
APP_077719,United States,1069,41.31,3.1,158197.79,267,37,1165,ru,Q4,2025
APP_036705,Canada,41678,8.53,2.9,881934.06,5816,6216,28311,ar,Q3,2026
APP_069122,Vietnam,1562,27.69,4.6,662036.01,633,121,344,ko,Q4,2025
APP_050036,Peru,827,12.13,2.5,454836.56,1383,2947,4111,pt,Q2,2025
APP_015497,India,2646,10.39,4.0,384275.61,2028,905,2985,pt,Q2,2024
APP_075777,United States,11685,26.24,3.8,571244.07,3305,5915,21199,th,Q4,2025
APP_007732,Italy,8257,8.37,3.1,413989.77,5052,6061,13265,tr,Q3,2025
APP_087476,United States,31,5.18,3.8,221197.03,1483,371,3281,ru,Q4,2026
APP_060167,South Africa,23287,18.21,3.5,932465.33,9838,3037,17310,de,Q4,2025
APP_093474,India,693,13.49,2.1,3344.38,13,115,949,hi,Q1,2026
APP_016191,United States,35154,21.59,2.9,143624.88,13255,3677,28468,id,Q3,2025
APP_017610,UAE,17155,30.95,4.0,206131.83,8950,2329,10181,ru,Q1,2025
